animal_id,name,gender,age,weight,scraped_at,shelter_id,city,state,shelter_name,shelter_profile_url,public_image_url
PAWSCH-154987,Ellery,,,,2026-06-15 20:00:35.929956+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/154987,null
PAWSCH-154354,Kanzi,,,,2026-06-15 20:00:35.930031+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/154354,null
PAWSCH-154256,Vale,,,,2026-06-15 20:00:35.930098+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/154256,null
PACC-A872734,Bella Queen,Spayed Female,8 Years Old,48 Pounds,2026-06-15 08:00:43.927751+00,PACC,Tucson,AZ,Pima Animal Care Center,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A872734,null
PACC-A876268,Chewy,Neutered Male,"1 Year, 2 Months Old",64 Pounds,2026-06-15 08:00:43.928463+00,PACC,Tucson,AZ,Pima Animal Care Center,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A876268,null
PACC-A876756,Gatsby,Neutered Male,5 Years Old,65 Pounds,2026-06-15 08:00:43.929151+00,PACC,Tucson,AZ,Pima Animal Care Center,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A876756,null
PACC-A879085,Wrinkle,Neutered Male,"2 Years, 10 Months Old",59 Pounds,2026-06-15 08:00:43.929838+00,PACC,Tucson,AZ,Pima Animal Care Center,https://24petconnect.com/PimaAdoptablePets/Details/PIMA2/A879085,null
PACC-A879088,Lenny,Neutered Male,8 Years Old,57 Pounds,2026-06-15 08:00:43.930504+00,PACC,Tucson,AZ,Pima Animal Care Center,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A879088,null
PACC-A879096,Little Lady,Spayed Female,10 Years Old,64 Pounds,2026-06-15 08:00:43.931172+00,PACC,Tucson,AZ,Pima Animal Care Center,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A879096,null
PACC-A879101,Titan,Neutered Male,"2 Years, 10 Months Old",48 Pounds,2026-06-15 08:00:43.931848+00,PACC,Tucson,AZ,Pima Animal Care Center,https://24petconnect.com/PimaAdoptablePets/Details/PIMA2/A879101,null
PAWSCH-154681,Stefan,,,,2026-06-15 20:00:35.930161+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/154681,null
PAWSCH-155173,Oasis,,,,2026-06-15 20:00:35.930222+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/155173,null
PAWSCH-83127,Humberto,,,,2026-06-15 20:00:35.930296+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/83127,null
PAWSCH-77397,Goose,,,,2026-06-15 20:00:35.930363+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/77397,null
PAWSCH-84673,Zuni,,,,2026-06-15 20:00:35.930436+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/84673,null
PAWSCH-151991,Taffy,,,,2026-06-15 20:00:35.930509+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/151991,null
PAWSCH-80006,Damen,,,,2026-06-15 20:00:35.930572+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/80006,null
PAWSCH-42084,Muffy,,,,2026-06-15 20:00:35.930639+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/42084,null
PAWSCH-52350,Cassius,,,,2026-06-15 20:00:35.930705+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/52350,null
PAWSCH-54212,Latte,,,,2026-06-15 20:00:35.930777+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/54212,null
PAWSCH-65101,Saint,,,,2026-06-15 20:00:35.930841+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/65101,null
PAWSCH-158349,Mia,,,,2026-06-15 20:00:35.930902+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/158349,null
PAWSCH-158219,Boris 4942,,,,2026-06-15 20:00:35.930963+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/158219,null
PAWSCH-156091,Igloo,,,,2026-06-15 20:00:35.931033+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/156091,null
PAWSCH-157726,Cammy,,,,2026-06-15 20:00:35.931101+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/157726,null
NYCACC-33504,Ronnie,Female,11 Years,61 lbs,2026-06-15 20:04:19.71807+00,NYCACC,NYC,NY,Animal Care Centers of NYC,https://nycacc.app/#/browse/33504,null
NYCACC-88498,Hazel,Female,8 Years,39.6 lbs,2026-06-15 20:04:19.718086+00,NYCACC,NYC,NY,Animal Care Centers of NYC,https://nycacc.app/#/browse/88498,null
NYCACC-118683,Kobe,Male,6 Years,79 lbs,2026-06-15 20:04:19.718091+00,NYCACC,NYC,NY,Animal Care Centers of NYC,https://nycacc.app/#/browse/118683,null
NYCACC-119915,Champ,Male,11 Years,75 lbs,2026-06-15 20:04:19.718094+00,NYCACC,NYC,NY,Animal Care Centers of NYC,https://nycacc.app/#/browse/119915,null
NYCACC-123894,Loki,Male,12 Years,70 lbs,2026-06-15 20:04:19.718097+00,NYCACC,NYC,NY,Animal Care Centers of NYC,https://nycacc.app/#/browse/123894,null
NYCACC-143570,Keroppi,Male,6 Years,59 lbs,2026-06-15 20:04:19.7181+00,NYCACC,NYC,NY,Animal Care Centers of NYC,https://nycacc.app/#/browse/143570,null
AHSCN-48139768,"A Pet :: Ace - Newark, NJ",null,null,null,2026-06-15 20:00:37.040737+00,AHSCN,Newark,NJ,Associated Humane Societies - Newark,https://searchtools.adoptapet.com/pet/48139768-newark-new-jersey-american-pit-bull-terrier-mix,https://pet-uploads.adoptapet.com/7/6/0/1308226897.jpg
AHSCN-48299906,,null,null,null,2026-06-15 20:00:37.040774+00,AHSCN,Newark,NJ,Associated Humane Societies - Newark,https://searchtools.adoptapet.com/pet/48299906-newark-new-jersey-american-pit-bull-terrier-mix,https://pet-uploads.adoptapet.com/2/8/6/1311755357.jpg
AHSCN-48326179,"A Pet :: BabyCakes - Newark, NJ",null,null,null,2026-06-15 20:00:37.040778+00,AHSCN,Newark,NJ,Associated Humane Societies - Newark,https://searchtools.adoptapet.com/pet/48326179-newark-new-jersey-rottweiler-mix,https://pet-uploads.adoptapet.com/2/f/0/1312319311.jpg
AHSCN-48093042,"A Pet :: Bangster - Newark, NJ",null,null,null,2026-06-15 20:00:37.040782+00,AHSCN,Newark,NJ,Associated Humane Societies - Newark,https://searchtools.adoptapet.com/pet/48093042-newark-new-jersey-american-pit-bull-terrier-mix,https://pet-uploads.adoptapet.com/0/e/a/1307157697.jpg
AHSCN-48211733,"A Pet :: Bear - Newark, NJ",null,null,null,2026-06-15 20:00:37.040784+00,AHSCN,Newark,NJ,Associated Humane Societies - Newark,https://searchtools.adoptapet.com/pet/48211733-newark-new-jersey-husky-mix,https://pet-uploads.adoptapet.com/7/d/7/1312013566.jpg
AHSCN-48009265,"A Pet :: Bentley - Newark, NJ",null,null,null,2026-06-15 20:00:37.040787+00,AHSCN,Newark,NJ,Associated Humane Societies - Newark,https://searchtools.adoptapet.com/pet/48009265-newark-new-jersey-mixed-breed-large-mix,https://pet-uploads.adoptapet.com/b/3/b/1306941801.jpg
AHSCN-48269388,"A Pet :: Bernie - Newark, NJ",null,null,null,2026-06-15 20:00:37.040819+00,AHSCN,Newark,NJ,Associated Humane Societies - Newark,https://searchtools.adoptapet.com/pet/48269388-newark-new-jersey-american-staffordshire-terrier-mix,https://pet-uploads.adoptapet.com/d/d/8/1311059490.jpg
AHSCN-48269825,"A Pet :: Biggie - Newark, NJ",null,null,null,2026-06-15 20:00:37.040823+00,AHSCN,Newark,NJ,Associated Humane Societies - Newark,https://searchtools.adoptapet.com/pet/48269825-newark-new-jersey-belgian-malinois-mix,https://pet-uploads.adoptapet.com/c/b/6/1311815564.jpg
AHSCN-47490138,"A Pet :: Binbo - Newark, NJ",null,null,null,2026-06-15 20:00:37.040826+00,AHSCN,Newark,NJ,Associated Humane Societies - Newark,https://searchtools.adoptapet.com/pet/47490138-newark-new-jersey-mixed-breed-large-mix,https://pet-uploads.adoptapet.com/3/1/8/1296489689.jpg
